Service,Component,Attribute,Baseline_Values,Enhanced_Values,Baseline_Constraint,Enhanced_Constraint,Baseline_Unit,Enhanced_Unit,Status,Baseline_Reasoning,Enhanced_Reasoning
AWSDataSync,ds-1_AWSDataSync,Location,-,['Israel (Tel Aviv)'],-,IN,-,None,Enhanced_Only,"Service purpose: AWS DataSync is a service designed for secure, online data transfer between on-premises storage systems and AWS Storage services, as well as between different AWS Storage services. Its pricing model p... | Attribute selection: The attribute selection is prioritized to narrow down the search space effectively. 'Region Code' is always first as it's the primary filter for all AWS pricing. 'operation' is chosen next as it defin... | Critical attributes: For the 'DataTransfer' component, the most critical attributes are 'Region Code' and 'Unit'. 'Region Code' ('il-central-1') determines the specific regional price, and 'Unit' ('GB') isolates the prici... | Alternatives: A single-component model was considered, where all attributes are filtered in one search space. This was rejected because DataSync has two distinct pricing units ('GB' and 'Task Executions') that cann...","Context: AWS DataSync is a managed data transfer service that simplifies, automates, and accelerates moving and replicating data between on-premises storage sy..."
AWSDataSync,ds-1_AWSDataSync,Product Family,-,AWS DataSync,-,=,-,None,Enhanced_Only,"Service purpose: AWS DataSync is a service designed for secure, online data transfer between on-premises storage systems and AWS Storage services, as well as between different AWS Storage services. Its pricing model p... | Attribute selection: The attribute selection is prioritized to narrow down the search space effectively. 'Region Code' is always first as it's the primary filter for all AWS pricing. 'operation' is chosen next as it defin... | Critical attributes: For the 'DataTransfer' component, the most critical attributes are 'Region Code' and 'Unit'. 'Region Code' ('il-central-1') determines the specific regional price, and 'Unit' ('GB') isolates the prici... | Alternatives: A single-component model was considered, where all attributes are filtered in one search space. This was rejected because DataSync has two distinct pricing units ('GB' and 'Task Executions') that cann...",Critical: **Product Family**: This is critical for query correctness to ensure we are only looking at AWS DataSync prices... | Selection: **Product Family**: This is a mandatory filter to isolate DataSync-specific pricing from a potentially larger pricing table...
AWSDataSync,ds-1_AWSDataSync,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,"Critical: For the 'DataTransfer' component, the most critical attributes are 'Region Code' and 'Unit'... | Selection: 'Region Code' is always first as it's the primary filter for all AWS pricing...","Critical: **Region Code**: This is the most critical attribute as pricing is region-specific... | Selection: **Region Code**: Essential for pricing, as costs can vary by region..."
AWSDataSync,ds-1_AWSDataSync,Task Mode,-,Enhanced,-,=,-,None,Enhanced_Only,"Selection: 'Task Type' and 'Task Mode' are included to capture any potential pricing variations based on the specifics of the synchronization task, although they...","Selection: Other columns like 'Task Mode' or 'Task Type' could be added but might overly constrain the search, as the base cost is the same regardless of these d..."
AWSDataSync,ds-1_AWSDataSync,Unit,GB,"['GB', 'GB ']",=,IN,None,None,Modified,"Critical: For the 'DataTransfer' component, the most critical attributes are 'Region Code' and 'Unit'... | Selection: Finally, 'Unit' is crucial to differentiate between data transfer costs (GB) and task execution costs (Task Executions)...","Service purpose: AWS DataSync is a managed data transfer service that simplifies, automates, and accelerates moving and replicating data between on-premises storage systems, edge locations, and AWS Storage services. I... | Attribute selection: The attribute selection is focused on defining the core characteristics of the DataSync task to get the most accurate pricing. 
1. **Region Code**: Essential for pricing, as costs can vary by region. ... | Critical attributes: 1. **Region Code**: This is the most critical attribute as pricing is region-specific. Missing or incorrect region information leads to inaccurate cost estimates. I've mapped `il-central-1` directly f... | Alternatives: I considered adding 'Task Mode' and 'Task Type' as attributes. However, upon reviewing the standard DataSync pricing model, the cost per GB is often uniform regardless of these specific task configura..."
AWSDataSync,ds-1_AWSDataSync,operation,Sync,Sync,=,=,None,None,Same,"Critical: All other attributes like 'operation' are important for ensuring query accuracy but these two are fundamental to isolating the correct pricing dimensi... | Selection: 'operation' is chosen next as it defines the core action, which is 'Sync' for this service...",Critical: **operation**: This is the next most critical attribute... | Selection: **operation**: The input describes a 'watched folder input trigger' which translates to a 'Sync' operation in DataSync terminology...
AWSSystemsManager,ssm-1_APIRequest,Product Family,API Request,-,=,-,None,-,Baseline_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Product Family` is second to distinguish between the core service costs and API request costs, which is fundamental to the service's pricing structur...","Selection:  `Product Family`: This is used to differentiate between high-level service offerings within SSM, such as 'API Request', which is essential for the `S..."
AWSSystemsManager,ssm-1_APIRequest,Region Code,il-central-1,-,=,-,None,-,Baseline_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Region Code` is always first as it's the primary filter for all AWS services...","Critical: Therefore, filtering for 'True' on this boolean attribute is necessary to find the relevant pricing entries.
- For all components, `Region Code` remai... | Selection:  `Region Code`: This is the most crucial attribute as pricing is region-specific..."
AWSSystemsManager,ssm-1_AWSSystemsManager,Parameter type,"['advanced or standard', 'True']",-,IN,-,None,-,Baseline_Only,"Critical: For the `AWSSystemsManager` component, `Parameter type` is critical because 'advanced' parameters have a direct cost, unlike standard ones, which is a... | Selection: Subsequent attributes like `Parameter type`, `instances`, `Ops Items`, and `change-requests-paid` are chosen to filter for specific features that have...","Critical: The most critical attributes are those that map directly to a specific, billable feature of Systems Manager.

- For `SSMParameterStore`, the critical ... | Selection:  Component-Specific Attributes: Attributes like `Parameter type`, `steps`, and `Ops Items` are critical for isolating the costs of specific SSM featur..."
AWSSystemsManager,ssm-1_AWSSystemsManager,Product Family,AWS Systems Manager,-,=,-,None,-,Baseline_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Product Family` is second to distinguish between the core service costs and API request costs, which is fundamental to the service's pricing structur...","Selection:  `Product Family`: This is used to differentiate between high-level service offerings within SSM, such as 'API Request', which is essential for the `S..."
AWSSystemsManager,ssm-1_AWSSystemsManager,Region Code,il-central-1,-,=,-,None,-,Baseline_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Region Code` is always first as it's the primary filter for all AWS services...","Critical: Therefore, filtering for 'True' on this boolean attribute is necessary to find the relevant pricing entries.
- For all components, `Region Code` remai... | Selection:  `Region Code`: This is the most crucial attribute as pricing is region-specific..."
AWSSystemsManager,ssm-1_SSMApiRequests,Product Family,-,API Request,-,=,-,None,Enhanced_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Product Family` is second to distinguish between the core service costs and API request costs, which is fundamental to the service's pricing structur...","Selection:  `Product Family`: This is used to differentiate between high-level service offerings within SSM, such as 'API Request', which is essential for the `S..."
AWSSystemsManager,ssm-1_SSMApiRequests,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Region Code` is always first as it's the primary filter for all AWS services...","Critical: Therefore, filtering for 'True' on this boolean attribute is necessary to find the relevant pricing entries.
- For all components, `Region Code` remai... | Selection:  `Region Code`: This is the most crucial attribute as pricing is region-specific..."
AWSSystemsManager,ssm-1_SSMAutomation,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Region Code` is always first as it's the primary filter for all AWS services...","Critical: Therefore, filtering for 'True' on this boolean attribute is necessary to find the relevant pricing entries.
- For all components, `Region Code` remai... | Selection:  `Region Code`: This is the most crucial attribute as pricing is region-specific..."
AWSSystemsManager,ssm-1_SSMAutomation,steps,-,"['Basic', 'Duration']",-,IN,-,None,Enhanced_Only,"Service purpose: AWS Systems Manager is a suite of tools for managing and automating operational tasks on AWS resources and on-premises infrastructure. Its pricing is granular, based on the specific features used. Key... | Attribute selection: The attributes were selected to progressively narrow down the pricing options to the most relevant ones. `Region Code` is always first as it's the primary filter for all AWS services. `Product Family`... | Critical attributes: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing. For the `AWSSystemsManager` component, `Parameter type` is critical b... | Alternatives: A single-component model was considered. This was rejected because the 'Product Family' column clearly indicates a pricing distinction between general Systems Manager features and API Requests. Combin...","Critical: Selecting this correctly is the most important factor for this component's cost.
- For `SSMAutomation`, the critical attribute is `steps`... | Selection:  Component-Specific Attributes: Attributes like `Parameter type`, `steps`, and `Ops Items` are critical for isolating the costs of specific SSM featur... | Context: Its pricing is multifaceted, with costs derived from various features such as Parameter Store (standard and advanced tiers), OpsCenter (OpsItems), Inc..."
AWSSystemsManager,ssm-1_SSMOpsCenter,Ops Items,-,True,-,=,-,None,Enhanced_Only,"Selection: Subsequent attributes like `Parameter type`, `instances`, `Ops Items`, and `change-requests-paid` are chosen to filter for specific features that have...","Critical: Pricing is per-step, so filtering by 'Basic' or 'Duration' steps is essential to find the correct rate.
- For `SSMOpsCenter`, the critical attribute i... | Selection:  Component-Specific Attributes: Attributes like `Parameter type`, `steps`, and `Ops Items` are critical for isolating the costs of specific SSM featur..."
AWSSystemsManager,ssm-1_SSMOpsCenter,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Region Code` is always first as it's the primary filter for all AWS services...","Critical: Therefore, filtering for 'True' on this boolean attribute is necessary to find the relevant pricing entries.
- For all components, `Region Code` remai... | Selection:  `Region Code`: This is the most crucial attribute as pricing is region-specific..."
AWSSystemsManager,ssm-1_SSMParameterStore,Parameter type,-,"['advanced or standard', 'True']",-,IN,-,None,Enhanced_Only,"Critical: For the `AWSSystemsManager` component, `Parameter type` is critical because 'advanced' parameters have a direct cost, unlike standard ones, which is a... | Selection: Subsequent attributes like `Parameter type`, `instances`, `Ops Items`, and `change-requests-paid` are chosen to filter for specific features that have...","Critical: The most critical attributes are those that map directly to a specific, billable feature of Systems Manager.

- For `SSMParameterStore`, the critical ... | Selection:  Component-Specific Attributes: Attributes like `Parameter type`, `steps`, and `Ops Items` are critical for isolating the costs of specific SSM featur..."
AWSSystemsManager,ssm-1_SSMParameterStore,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: For both components, `Region Code` and `Product Family` are the most critical as they define the foundational context for pricing... | Selection: `Region Code` is always first as it's the primary filter for all AWS services...","Critical: Therefore, filtering for 'True' on this boolean attribute is necessary to find the relevant pricing entries.
- For all components, `Region Code` remai... | Selection:  `Region Code`: This is the most crucial attribute as pricing is region-specific..."
AmazonEC2,ec2-1_AmazonEC2,Instance Family,Memory optimized,Memory optimized,=,=,str,str,Same,No reasoning available,No reasoning available
AmazonEC2,ec2-1_AmazonEC2,MarketOption,OnDemand,OnDemand,=,=,str,str,Same,No reasoning available,No reasoning available
AmazonEC2,ec2-1_AmazonEC2,Operating System,Linux,Linux,=,=,str,str,Same,No reasoning available,No reasoning available
AmazonEC2,ec2-1_AmazonEC2,Region Code,['il-central-1'],['il-central-1'],IN,IN,list,list,Same,No reasoning available,No reasoning available
AmazonEC2,ec2-1_AmazonEC2,Tenancy,Shared,Shared,=,=,str,str,Same,No reasoning available,No reasoning available
AmazonEC2,ec2-1_AmazonEC2,Unit,Hrs,Hrs,=,=,None,None,Same,No reasoning available,No reasoning available
AmazonEC2,ec2-1_AmazonEC2,vCPU,119,119,>=,>=,int,int,Same,No reasoning available,No reasoning available
