Service,Component,Attribute,Baseline_Values,Enhanced_Values,Baseline_Constraint,Enhanced_Constraint,Baseline_Unit,Enhanced_Unit,Status,Baseline_Reasoning,Enhanced_Reasoning
AWSStorageGateway,sgw-1_StorageGateway-Fee,Fee Code,-,['StorageGateway-UploadedBytes'],-,IN,-,None,Enhanced_Only,"Service purpose: AWS Storage Gateway is a hybrid cloud storage service that enables on-premises applications to seamlessly use AWS cloud storage. It offers different gateway types—File Gateway, Volume Gateway, and Tap... | Attribute selection: The attributes were selected to filter down to the most cost-effective options based on the user's requirements. 'Region Code' is the most critical filter as it dictates pricing and service availabili... | Critical attributes: For 'StorageGatewayInstance', the most critical attribute is 'operation', as this defines the type of gateway being deployed (e.g., File, Volume, Tape), which directly maps to a specific product offer... | Alternatives: A single-component model was considered, but rejected because the 'Product Family' column clearly indicates distinct billing dimensions for instance hours, storage, and operational fees. Combining the...","Critical: For the 'Fees' component, 'Region Code', 'Product Family' ('StorageGateway-Fee'), and 'Fee Code' are paramount... | Selection: 'Fee Code' is selected to specify the exact type of operational cost being calculated, such as data uploads..."
AWSStorageGateway,sgw-1_StorageGateway-Fee,Product Family,-,['StorageGateway-Fee'],-,IN,-,None,Enhanced_Only,"Selection: 'Product Family' is next, as it separates the fundamental cost components (instance, storage, transfer)... | Context: Key cost drivers include the type of gateway deployed (which translates to a 'Product Family' like StorageGateway-Instance), the amount of data stored...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Product Family' is second, as it directly maps to the identified components and is the primary pricing differentiator..."
AWSStorageGateway,sgw-1_StorageGateway-Fee,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: For all components, 'Region Code' is fundamentally critical as all AWS prices are region-specific.... | Selection: 'Region Code' is the most critical filter as it dictates pricing and service availability...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Region Code' is first, as it's a fundamental filter for all AWS services..."
AWSStorageGateway,sgw-1_StorageGateway-Instance,Product Family,-,['StorageGateway-Instance'],-,IN,-,None,Enhanced_Only,"Selection: 'Product Family' is next, as it separates the fundamental cost components (instance, storage, transfer)... | Context: Key cost drivers include the type of gateway deployed (which translates to a 'Product Family' like StorageGateway-Instance), the amount of data stored...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Product Family' is second, as it directly maps to the identified components and is the primary pricing differentiator..."
AWSStorageGateway,sgw-1_StorageGateway-Instance,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: For all components, 'Region Code' is fundamentally critical as all AWS prices are region-specific.... | Selection: 'Region Code' is the most critical filter as it dictates pricing and service availability...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Region Code' is first, as it's a fundamental filter for all AWS services..."
AWSStorageGateway,sgw-1_StorageGateway-Storage,Product Family,-,['StorageGateway-Storage'],-,IN,-,None,Enhanced_Only,"Selection: 'Product Family' is next, as it separates the fundamental cost components (instance, storage, transfer)... | Context: Key cost drivers include the type of gateway deployed (which translates to a 'Product Family' like StorageGateway-Instance), the amount of data stored...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Product Family' is second, as it directly maps to the identified components and is the primary pricing differentiator..."
AWSStorageGateway,sgw-1_StorageGateway-Storage,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: For all components, 'Region Code' is fundamentally critical as all AWS prices are region-specific.... | Selection: 'Region Code' is the most critical filter as it dictates pricing and service availability...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Region Code' is first, as it's a fundamental filter for all AWS services..."
AWSStorageGateway,sgw-1_StorageGateway-Storage,Storage Class,-,['Standard'],-,IN,-,None,Enhanced_Only,"Critical: For 'StorageGatewayStorage', the 'Storage Class' is critical because it differentiates between standard, frequently accessed storage and cheaper, arch... | Selection: For the 'Storage' component, 'Storage Class' is key for cost based on access patterns...","Critical: For the 'Storage' component, 'Region Code', 'Product Family' ('StorageGateway-Storage'), and 'Storage Class' are essential... | Selection: 'Storage Class' is crucial for the 'Storage' component, determining the cost per GB-Mo based on access patterns ('Glacier' vs..."
AWSStorageGateway,sgw-1_StorageGatewayDataTransfer,Fee Code,StorageGateway-UploadedBytes,-,=,-,None,-,Baseline_Only,"Service purpose: AWS Storage Gateway is a hybrid cloud storage service that enables on-premises applications to seamlessly use AWS cloud storage. It offers different gateway types—File Gateway, Volume Gateway, and Tap... | Attribute selection: The attributes were selected to filter down to the most cost-effective options based on the user's requirements. 'Region Code' is the most critical filter as it dictates pricing and service availabili... | Critical attributes: For 'StorageGatewayInstance', the most critical attribute is 'operation', as this defines the type of gateway being deployed (e.g., File, Volume, Tape), which directly maps to a specific product offer... | Alternatives: A single-component model was considered, but rejected because the 'Product Family' column clearly indicates distinct billing dimensions for instance hours, storage, and operational fees. Combining the...","Critical: For the 'Fees' component, 'Region Code', 'Product Family' ('StorageGateway-Fee'), and 'Fee Code' are paramount... | Selection: 'Fee Code' is selected to specify the exact type of operational cost being calculated, such as data uploads..."
AWSStorageGateway,sgw-1_StorageGatewayDataTransfer,Product Family,StorageGateway-Fee,-,=,-,None,-,Baseline_Only,"Selection: 'Product Family' is next, as it separates the fundamental cost components (instance, storage, transfer)... | Context: Key cost drivers include the type of gateway deployed (which translates to a 'Product Family' like StorageGateway-Instance), the amount of data stored...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Product Family' is second, as it directly maps to the identified components and is the primary pricing differentiator..."
AWSStorageGateway,sgw-1_StorageGatewayDataTransfer,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,"Critical: For all components, 'Region Code' is fundamentally critical as all AWS prices are region-specific.... | Selection: 'Region Code' is the most critical filter as it dictates pricing and service availability...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Region Code' is first, as it's a fundamental filter for all AWS services..."
AWSStorageGateway,sgw-1_StorageGatewayInstance,Product Family,StorageGateway-Instance,-,=,-,None,-,Baseline_Only,"Selection: 'Product Family' is next, as it separates the fundamental cost components (instance, storage, transfer)... | Context: Key cost drivers include the type of gateway deployed (which translates to a 'Product Family' like StorageGateway-Instance), the amount of data stored...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Product Family' is second, as it directly maps to the identified components and is the primary pricing differentiator..."
AWSStorageGateway,sgw-1_StorageGatewayInstance,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,"Critical: For all components, 'Region Code' is fundamentally critical as all AWS prices are region-specific.... | Selection: 'Region Code' is the most critical filter as it dictates pricing and service availability...","Critical: For the 'Instance' component, 'Region Code' and 'Product Family' ('StorageGateway-Instance') are critical to find the base hourly rate of the gateway ... | Selection: 'Region Code' is first, as it's a fundamental filter for all AWS services..."
AWSStorageGateway,sgw-1_StorageGatewayInstance,operation,FileFSxWindowsGatewaySoftware,-,=,-,None,-,Baseline_Only,"Critical: For 'StorageGatewayInstance', the most critical attribute is 'operation', as this defines the type of gateway being deployed (e.g., File, Volume, Tape... | Selection: For the 'Instance' component, 'operation' is crucial as it specifies the gateway type (e.g., FileFSxWindowsGatewaySoftware for file-based access)... | Context: Key cost drivers include the type of gateway deployed (which translates to a 'Product Family' like StorageGateway-Instance), the amount of data stored...","Selection: 'Fee Code' is selected to specify the exact type of operational cost being calculated, such as data uploads..."
