Service,Component,Attribute,Baseline_Values,Enhanced_Values,Baseline_Constraint,Enhanced_Constraint,Baseline_Unit,Enhanced_Unit,Status,Baseline_Reasoning,Enhanced_Reasoning
AWSEvents,ev-1_AWSEvents,Event Type,-,Custom Event,-,=,-,None,Enhanced_Only,"Service purpose: AWSEvents, which primarily operates under the Amazon EventBridge brand, is a serverless event bus service for building event-driven architectures. It allows decoupling of applications by routing event... | Attribute selection: The attributes are prioritized to narrow down the search space effectively, starting with the most restrictive. 'Region Code' is first because all AWS pricing is region-specific. 'Product Family' is n... | Critical attributes: For the 'AWSPutEvents' component, the most critical attributes are: 1. 'Region Code' ('il-central-1'): Pricing is non-transferable between regions. 2. 'Product Family' ('EventBridge'): This is the mod... | Alternatives: A single-component model using just the service codename 'AWSEvents' was considered. This was rejected because the service has distinct pricing for different operations (publishing, archiving, invokin...","Critical: **Event Type**: This directly impacts the price per event... | Selection: 'Event Type' is crucial for targeting the correct pricing tier, with 'Custom Event' being the most likely match for a 'watched folder input trigger' w..."
AWSEvents,ev-1_AWSEvents,Product Family,-,EventBridge,-,=,-,None,Enhanced_Only,"Critical: 'Product Family' ('EventBridge'): This is the modern, recommended service over the legacy 'CloudWatch Events', offering more features... | Selection: 'Product Family' is next, as it distinguishes between the older 'CloudWatch Events' and the current 'EventBridge' offerings, which have different pric...","Critical: **Product Family**: Critical for cost and functionality... | Selection: 'Product Family' is selected next to differentiate between the modern 'EventBridge' and the legacy 'CloudWatch Events', as EventBridge is the standard..."
AWSEvents,ev-1_AWSEvents,Region Code,-,il-central-1,-,=,-,None,Enhanced_Only,Critical: 'Region Code' ('il-central-1'): Pricing is non-transferable between regions... | Selection: 'Region Code' is first because all AWS pricing is region-specific...,Critical: **Region Code**: This is the most critical attribute as all AWS pricing is region-specific... | Selection: 'Region Code' is the primary filter as it's a mandatory attribute that determines pricing and availability...
AWSEvents,ev-1_AWSEvents,operation,-,PutEvents,-,=,-,None,Enhanced_Only,"Critical: 'operation' ('PutEvents'): This attribute directly isolates the cost associated with publishing an event to the bus, which is the fundamental action d... | Selection: 'operation' is chosen third to specifically target the cost of publishing events ('PutEvents'), which aligns with the user's need to trigger workflows...","Critical: **operation**: Specifying 'PutEvents' is important as it's the specific API call for publishing events to the bus and is a distinct line item in the p... | Selection: 'operation' is included to specify the action, 'PutEvents' being the fundamental operation for publishing events..."
AWSEvents,ev-1_AWSPutEvents,Product Family,EventBridge,-,=,-,None,-,Baseline_Only,"Critical: 'Product Family' ('EventBridge'): This is the modern, recommended service over the legacy 'CloudWatch Events', offering more features... | Selection: 'Product Family' is next, as it distinguishes between the older 'CloudWatch Events' and the current 'EventBridge' offerings, which have different pric...","Critical: **Product Family**: Critical for cost and functionality... | Selection: 'Product Family' is selected next to differentiate between the modern 'EventBridge' and the legacy 'CloudWatch Events', as EventBridge is the standard..."
AWSEvents,ev-1_AWSPutEvents,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,Critical: 'Region Code' ('il-central-1'): Pricing is non-transferable between regions... | Selection: 'Region Code' is first because all AWS pricing is region-specific...,Critical: **Region Code**: This is the most critical attribute as all AWS pricing is region-specific... | Selection: 'Region Code' is the primary filter as it's a mandatory attribute that determines pricing and availability...
AWSEvents,ev-1_AWSPutEvents,operation,PutEvents,-,=,-,None,-,Baseline_Only,"Critical: 'operation' ('PutEvents'): This attribute directly isolates the cost associated with publishing an event to the bus, which is the fundamental action d... | Selection: 'operation' is chosen third to specifically target the cost of publishing events ('PutEvents'), which aligns with the user's need to trigger workflows...","Critical: **operation**: Specifying 'PutEvents' is important as it's the specific API call for publishing events to the bus and is a distinct line item in the p... | Selection: 'operation' is included to specify the action, 'PutEvents' being the fundamental operation for publishing events..."
AWSLambda,lambda-1_AWSLambda,Group,"['AWS-Lambda-Requests', 'AWS-Lambda-Duration', 'AWS-Lambda-Requests-ARM', 'AWS-Lambda-Duration-ARM']",-,IN,-,None,-,Baseline_Only,"Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Group' is selected next to filter by the specific Lambda pricing dimension (e.g., Duration, Requests, Provisioned Concurrency)...","Critical:  **Group**: This is the most critical attribute for differentiating between billing components... | Selection: I am mapping 'Amount of memory allocated' to the 'Group' codename filtered by 'GB-Second', and 'Number of requests' to the 'Group' codename filtered b..."
AWSLambda,lambda-1_AWSLambda,Region Code,il-central-1,-,=,-,None,-,Baseline_Only,Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Region Code' is the most critical filter as pricing varies significantly by region...,Critical:  **Region Code**: Foundational for all AWS pricing... | Selection: 'Region Code' is always the first attribute selected as it fundamentally affects pricing and availability...
AWSLambda,lambda-1_AWSLambda,Unit,"['Requests', 'GB-Seconds', 'Lambda-GB-Second']",-,IN,-,None,-,Baseline_Only,"Selection: 'Unit' is crucial for distinguishing between request costs, duration costs (GB-Seconds), and data processing fees...","Selection: Finally, 'PricePerUnit' is used for sorting to find the most cost-effective options...."
