Service,Component,Attribute,Baseline_Values,Enhanced_Values,Baseline_Constraint,Enhanced_Constraint,Baseline_Unit,Enhanced_Unit,Status,Baseline_Reasoning,Enhanced_Reasoning
AWSTransfer,transfer-1_AWSDataTransfer,Data,"['SFTP-Upload-Bytes', 'SFTP-Download-Bytes', 'SFTP-Upload-EFS', 'SFTP-Download-EFS']",-,IN,-,None,-,Baseline_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For Data Transfer, 'Product Family', 'operation', and 'Data' attributes are crucial to pinpoint the cost per GB for uploads and downloads via specific... | Context: Pricing is based on the endpoint (hourly fee), the volume of data uploaded and downloaded (per GB), and since the input mentions 'watched folder' and ...","Critical: For 'DataUpload', the `Data` attribute is critical; filtering for values containing 'Upload' is essential to isolate upload costs... | Selection: For 'DataUpload' and 'DataDownload', the `operation` attribute is chosen to specify the protocol and direction (e.g., 'SFTP:S3' for S3 backend), and t... | Context: The pricing is typically based on three main components: hourly endpoint provisioning, the volume of data uploaded, and the volume of data downloaded..."
AWSTransfer,transfer-1_AWSDataTransfer,Product Family,AWS Transfer for SFTP,-,=,-,None,-,Baseline_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For the Endpoint component, 'Product Family' and 'Endpoint' attributes are used to isolate the hourly cost of the server protocol (e.g., SFTP)...",Selection: `Product Family` helps distinguish between different feature sets like standard Transfer Family vs...
AWSTransfer,transfer-1_AWSDataTransfer,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,"Critical: The most critical attributes are:
- **Region Code**: Foundational for all AWS pricing and service availability... | Selection: 'Region Code' is the primary filter as it's mandatory and affects all pricing...",Selection: `Region Code` is fundamental for all services...
AWSTransfer,transfer-1_AWSDataTransfer,Unit,"['GB', 'GigaBytes']",-,IN,-,None,-,Baseline_Only,Selection: Sorting by 'PricePerUnit' is included in all components to ensure the most cost-effective options are found first....,"Service purpose: AWS Transfer Family is a fully managed service for file transfers directly into and out of Amazon S3 or Amazon EFS. It supports Secure File Transfer Protocol (SFTP), File Transfer Protocol over SSL (F... | Attribute selection: The attributes were selected to align with the core pricing dimensions of AWS Transfer Family. `Region Code` is fundamental for all services. For the 'Endpoint' component, the `Endpoint` attribute is ... | Critical attributes: For the 'Endpoint' component, the most critical attribute is `Endpoint` itself, as its value determines the protocol (SFTP, FTP, etc.) and the hourly rate. For 'DataUpload', the `Data` attribute is cr... | Alternatives: A single component approach was considered but rejected because it would merge distinct pricing dimensions (hourly endpoint fees vs. per-GB data fees) into a single, unmanageable search space. This wo..."
AWSTransfer,transfer-1_AWSDataTransfer,operation,"['SFTP:S3', 'SFTP:EFS']",-,IN,-,None,-,Baseline_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For Data Transfer, 'Product Family', 'operation', and 'Data' attributes are crucial to pinpoint the cost per GB for uploads and downloads via specific...","Critical: The `operation` attribute is critical across both data components to lock the protocol and backend storage (S3 vs... | Selection: For 'DataUpload' and 'DataDownload', the `operation` attribute is chosen to specify the protocol and direction (e.g., 'SFTP:S3' for S3 backend), and t..."
AWSTransfer,transfer-1_AWSEndpoint,Endpoint,['SFTP-Protocol-Hours'],-,IN,-,None,-,Baseline_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For the Endpoint component, 'Product Family' and 'Endpoint' attributes are used to isolate the hourly cost of the server protocol (e.g., SFTP)... | Context: Pricing is based on the endpoint (hourly fee), the volume of data uploaded and downloaded (per GB), and since the input mentions 'watched folder' and ...","Critical: For the 'Endpoint' component, the most critical attribute is `Endpoint` itself, as its value determines the protocol (SFTP, FTP, etc.) and the hourly ... | Selection: For the 'Endpoint' component, the `Endpoint` attribute is critical to define the protocol (e.g., SFTP, FTP) and its hourly cost... | Context: The pricing is typically based on three main components: hourly endpoint provisioning, the volume of data uploaded, and the volume of data downloaded..."
AWSTransfer,transfer-1_AWSEndpoint,Product Family,AWS Transfer Family,-,=,-,None,-,Baseline_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For the Endpoint component, 'Product Family' and 'Endpoint' attributes are used to isolate the hourly cost of the server protocol (e.g., SFTP)...",Selection: `Product Family` helps distinguish between different feature sets like standard Transfer Family vs...
AWSTransfer,transfer-1_AWSEndpoint,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,"Critical: The most critical attributes are:
- **Region Code**: Foundational for all AWS pricing and service availability... | Selection: 'Region Code' is the primary filter as it's mandatory and affects all pricing...",Selection: `Region Code` is fundamental for all services...
AWSTransfer,transfer-1_AWSEndpoint,Unit,Hourly,-,=,-,None,-,Baseline_Only,Selection: Sorting by 'PricePerUnit' is included in all components to ensure the most cost-effective options are found first....,"Service purpose: AWS Transfer Family is a fully managed service for file transfers directly into and out of Amazon S3 or Amazon EFS. It supports Secure File Transfer Protocol (SFTP), File Transfer Protocol over SSL (F... | Attribute selection: The attributes were selected to align with the core pricing dimensions of AWS Transfer Family. `Region Code` is fundamental for all services. For the 'Endpoint' component, the `Endpoint` attribute is ... | Critical attributes: For the 'Endpoint' component, the most critical attribute is `Endpoint` itself, as its value determines the protocol (SFTP, FTP, etc.) and the hourly rate. For 'DataUpload', the `Data` attribute is cr... | Alternatives: A single component approach was considered but rejected because it would merge distinct pricing dimensions (hourly endpoint fees vs. per-GB data fees) into a single, unmanageable search space. This wo..."
AWSTransfer,transfer-1_AWSWorkflowSteps,Execution,Data-Transfer,-,=,-,None,-,Baseline_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For Workflows, 'Product Family' and 'Execution' filter for the price per workflow step... | Context: Pricing is based on the endpoint (hourly fee), the volume of data uploaded and downloaded (per GB), and since the input mentions 'watched folder' and ...","Service purpose: AWS Transfer Family is a fully managed service for file transfers directly into and out of Amazon S3 or Amazon EFS. It supports Secure File Transfer Protocol (SFTP), File Transfer Protocol over SSL (F... | Attribute selection: The attributes were selected to align with the core pricing dimensions of AWS Transfer Family. `Region Code` is fundamental for all services. For the 'Endpoint' component, the `Endpoint` attribute is ... | Critical attributes: For the 'Endpoint' component, the most critical attribute is `Endpoint` itself, as its value determines the protocol (SFTP, FTP, etc.) and the hourly rate. For 'DataUpload', the `Data` attribute is cr... | Alternatives: A single component approach was considered but rejected because it would merge distinct pricing dimensions (hourly endpoint fees vs. per-GB data fees) into a single, unmanageable search space. This wo..."
AWSTransfer,transfer-1_AWSWorkflowSteps,Product Family,AWS Transfer Family,-,=,-,None,-,Baseline_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For the Endpoint component, 'Product Family' and 'Endpoint' attributes are used to isolate the hourly cost of the server protocol (e.g., SFTP)...",Selection: `Product Family` helps distinguish between different feature sets like standard Transfer Family vs...
AWSTransfer,transfer-1_AWSWorkflowSteps,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,"Critical: The most critical attributes are:
- **Region Code**: Foundational for all AWS pricing and service availability... | Selection: 'Region Code' is the primary filter as it's mandatory and affects all pricing...",Selection: `Region Code` is fundamental for all services...
AWSTransfer,transfer-1_AWSWorkflowSteps,Unit,Executions,-,=,-,None,-,Baseline_Only,Selection: Sorting by 'PricePerUnit' is included in all components to ensure the most cost-effective options are found first....,"Service purpose: AWS Transfer Family is a fully managed service for file transfers directly into and out of Amazon S3 or Amazon EFS. It supports Secure File Transfer Protocol (SFTP), File Transfer Protocol over SSL (F... | Attribute selection: The attributes were selected to align with the core pricing dimensions of AWS Transfer Family. `Region Code` is fundamental for all services. For the 'Endpoint' component, the `Endpoint` attribute is ... | Critical attributes: For the 'Endpoint' component, the most critical attribute is `Endpoint` itself, as its value determines the protocol (SFTP, FTP, etc.) and the hourly rate. For 'DataUpload', the `Data` attribute is cr... | Alternatives: A single component approach was considered but rejected because it would merge distinct pricing dimensions (hourly endpoint fees vs. per-GB data fees) into a single, unmanageable search space. This wo..."
AWSTransfer,transfer-1_DataDownload,Data,-,%-Download-Bytes,-,LIKE,-,None,Enhanced_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For Data Transfer, 'Product Family', 'operation', and 'Data' attributes are crucial to pinpoint the cost per GB for uploads and downloads via specific... | Context: Pricing is based on the endpoint (hourly fee), the volume of data uploaded and downloaded (per GB), and since the input mentions 'watched folder' and ...","Critical: For 'DataUpload', the `Data` attribute is critical; filtering for values containing 'Upload' is essential to isolate upload costs... | Selection: For 'DataUpload' and 'DataDownload', the `operation` attribute is chosen to specify the protocol and direction (e.g., 'SFTP:S3' for S3 backend), and t... | Context: The pricing is typically based on three main components: hourly endpoint provisioning, the volume of data uploaded, and the volume of data downloaded..."
AWSTransfer,transfer-1_DataDownload,Region Code,-,['il-central-1'],-,IN,-,None,Enhanced_Only,"Critical: The most critical attributes are:
- **Region Code**: Foundational for all AWS pricing and service availability... | Selection: 'Region Code' is the primary filter as it's mandatory and affects all pricing...",Selection: `Region Code` is fundamental for all services...
AWSTransfer,transfer-1_DataDownload,operation,-,"['SFTP:S3', 'SFTP:EFS', 'FTP:S3', 'FTP:EFS', 'FTPS:S3', 'FTPS:EFS']",-,IN,-,None,Enhanced_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For Data Transfer, 'Product Family', 'operation', and 'Data' attributes are crucial to pinpoint the cost per GB for uploads and downloads via specific...","Critical: The `operation` attribute is critical across both data components to lock the protocol and backend storage (S3 vs... | Selection: For 'DataUpload' and 'DataDownload', the `operation` attribute is chosen to specify the protocol and direction (e.g., 'SFTP:S3' for S3 backend), and t..."
AWSTransfer,transfer-1_DataUpload,Data,-,%-Upload-Bytes,-,LIKE,-,None,Enhanced_Only,"Critical: It's the first filter applied.
- **Product Family**: Essential for distinguishing between the core components: the endpoint service ('AWS Transfer Fam... | Selection: For Data Transfer, 'Product Family', 'operation', and 'Data' attributes are crucial to pinpoint the cost per GB for uploads and downloads via specific... | Context: Pricing is based on the endpoint (hourly fee), the volume of data uploaded and downloaded (per GB), and since the input mentions 'watched folder' and ...","Critical: For 'DataUpload', the `Data` attribute is critical; filtering for values containing 'Upload' is essential to isolate upload costs... | Selection: For 'DataUpload' and 'DataDownload', the `operation` attribute is chosen to specify the protocol and direction (e.g., 'SFTP:S3' for S3 backend), and t... | Context: The pricing is typically based on three main components: hourly endpoint provisioning, the volume of data uploaded, and the volume of data downloaded..."
