Service,Component,Attribute,Baseline_Values,Enhanced_Values,Baseline_Constraint,Enhanced_Constraint,Baseline_Unit,Enhanced_Unit,Status,Baseline_Reasoning,Enhanced_Reasoning
AWSLambda,lambda-1_AWSLambda,Group,"['AWS-Lambda-Requests', 'AWS-Lambda-Duration', 'AWS-Lambda-Duration-ARM', 'AWS-Lambda-Storage-Duration', 'AWS-Lambda-Provisioned-Concurrency', 'AWS-Lambda-Provisioned-Concurrency-ARM', 'AWS-Lambda-Duration-Provisioned', 'AWS-Lambda-Duration-Provisioned-ARM']",-,IN,-,None,-,Baseline_Only,"Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Group' is selected next to filter by the specific Lambda pricing dimension (e.g., Duration, Requests, Provisioned Concurrency)...","Critical:  **Group**: This is the most critical attribute for differentiating between billing components... | Selection: I am mapping 'Amount of memory allocated' to the 'Group' codename filtered by 'GB-Second', and 'Number of requests' to the 'Group' codename filtered b..."
AWSLambda,lambda-1_AWSLambda,Region Code,['il-central-1'],-,IN,-,None,-,Baseline_Only,Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Region Code' is the most critical filter as pricing varies significantly by region...,Critical:  **Region Code**: Foundational for all AWS pricing... | Selection: 'Region Code' is always the first attribute selected as it fundamentally affects pricing and availability...
AWSLambda,lambda-1_LambdaDuration,Group,-,%Duration-ARM,-,LIKE,-,None,Enhanced_Only,"Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Group' is selected next to filter by the specific Lambda pricing dimension (e.g., Duration, Requests, Provisioned Concurrency)...","Critical:  **Group**: This is the most critical attribute for differentiating between billing components... | Selection: I am mapping 'Amount of memory allocated' to the 'Group' codename filtered by 'GB-Second', and 'Number of requests' to the 'Group' codename filtered b..."
AWSLambda,lambda-1_LambdaDuration,Region Code,-,il-central-1,-,=,-,None,Enhanced_Only,Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Region Code' is the most critical filter as pricing varies significantly by region...,Critical:  **Region Code**: Foundational for all AWS pricing... | Selection: 'Region Code' is always the first attribute selected as it fundamentally affects pricing and availability...
AWSLambda,lambda-1_LambdaDuration,Unit,-,GB-Seconds,-,=,-,None,Enhanced_Only,"Selection: 'Unit' is crucial for distinguishing between request costs, duration costs (GB-Seconds), and data processing fees...","Selection: Finally, 'PricePerUnit' is used for sorting to find the most cost-effective options...."
AWSLambda,lambda-1_LambdaEphemeralStorage,Group,-,%Storage-Duration-ARM,-,LIKE,-,None,Enhanced_Only,"Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Group' is selected next to filter by the specific Lambda pricing dimension (e.g., Duration, Requests, Provisioned Concurrency)...","Critical:  **Group**: This is the most critical attribute for differentiating between billing components... | Selection: I am mapping 'Amount of memory allocated' to the 'Group' codename filtered by 'GB-Second', and 'Number of requests' to the 'Group' codename filtered b..."
AWSLambda,lambda-1_LambdaEphemeralStorage,Region Code,-,il-central-1,-,=,-,None,Enhanced_Only,Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Region Code' is the most critical filter as pricing varies significantly by region...,Critical:  **Region Code**: Foundational for all AWS pricing... | Selection: 'Region Code' is always the first attribute selected as it fundamentally affects pricing and availability...
AWSLambda,lambda-1_LambdaEphemeralStorage,Unit,-,GB-Seconds,-,=,-,None,Enhanced_Only,"Selection: 'Unit' is crucial for distinguishing between request costs, duration costs (GB-Seconds), and data processing fees...","Selection: Finally, 'PricePerUnit' is used for sorting to find the most cost-effective options...."
AWSLambda,lambda-1_LambdaRequests,Group,-,%Requests-ARM,-,LIKE,-,None,Enhanced_Only,"Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Group' is selected next to filter by the specific Lambda pricing dimension (e.g., Duration, Requests, Provisioned Concurrency)...","Critical:  **Group**: This is the most critical attribute for differentiating between billing components... | Selection: I am mapping 'Amount of memory allocated' to the 'Group' codename filtered by 'GB-Second', and 'Number of requests' to the 'Group' codename filtered b..."
AWSLambda,lambda-1_LambdaRequests,Region Code,-,il-central-1,-,=,-,None,Enhanced_Only,Critical: The most critical attributes are 'Region Code' and 'Group'... | Selection: 'Region Code' is the most critical filter as pricing varies significantly by region...,Critical:  **Region Code**: Foundational for all AWS pricing... | Selection: 'Region Code' is always the first attribute selected as it fundamentally affects pricing and availability...
AWSLambda,lambda-1_LambdaRequests,Unit,-,Requests,-,=,-,None,Enhanced_Only,"Selection: 'Unit' is crucial for distinguishing between request costs, duration costs (GB-Seconds), and data processing fees...","Selection: Finally, 'PricePerUnit' is used for sorting to find the most cost-effective options...."
AmazonEKS,aeks-1_EKSCluster,Location,Israel (Tel Aviv),Israel (Tel Aviv),=,=,None,None,Same,"Critical: For 'EKSCluster', the most critical attribute is `Region Code` ('Location' in the schema) because the cluster fee varies by region... | Selection: For the 'EKSWorkerNode' component, the attributes are chosen to reflect standard EC2 instance filtering: `Location` to specify the region, `Product Fa...","Service purpose: Amazon Elastic Kubernetes Service (AmazonEKS) is a managed container orchestration service that simplifies running Kubernetes on AWS. Its pricing is primarily driven by two main factors: a flat hourly... | Attribute selection: The attribute selection is designed to first narrow down the service offerings by the user's specified region, and then to identify the most cost-effective compute resources for the workload. 
- **`Re... | Critical attributes: The most critical attributes for cost-effective EKS pricing are:
1.  **`Region Code`**: Foundational for all pricing. Incorrect region leads to incorrect results. Mapped from `deploy_regions`: ['il-ce... | Alternatives: A single-component model was considered but rejected because it fails to accurately represent the EKS pricing structure, which clearly separates the control plane fee from the worker node costs. A sin..."
AmazonEKS,aeks-1_EKSCluster,Product Family,Compute,-,=,-,None,-,Baseline_Only,"Critical: Following that, `Product Family` is critical to ensure we are only looking at compute instance costs, not other potential charges... | Selection: For the 'EKSWorkerNode' component, the attributes are chosen to reflect standard EC2 instance filtering: `Location` to specify the region, `Product Fa...","Service purpose: Amazon Elastic Kubernetes Service (AmazonEKS) is a managed container orchestration service that simplifies running Kubernetes on AWS. Its pricing is primarily driven by two main factors: a flat hourly... | Attribute selection: The attribute selection is designed to first narrow down the service offerings by the user's specified region, and then to identify the most cost-effective compute resources for the workload. 
- **`Re... | Critical attributes: The most critical attributes for cost-effective EKS pricing are:
1.  **`Region Code`**: Foundational for all pricing. Incorrect region leads to incorrect results. Mapped from `deploy_regions`: ['il-ce... | Alternatives: A single-component model was considered but rejected because it fails to accurately represent the EKS pricing structure, which clearly separates the control plane fee from the worker node costs. A sin..."
